#	Hydrologic soil group: (1) medium/coarse stratified; (2) loamy till; (3) clay till; (4) fine stratified; (5) organic soils; (6) open water																	
#			CURVE NUMBER (AMCII)				MAX RECHARGE (inches/day)				Interception	Interception	ROOT ZONE (FT)					
 LU code	Description	Assumed Imperviousness	CN 1	CN 2	CN 3	CN 4	Max Recharge 1	Max Recharge 2	Max Recharge 3	Max Recharge 4	Interception_Growing	Interception_Nongrowing	RZ 1	RZ 2	RZ 3	RZ 4	Curve Number References	Rooting Depth References
11	 Open Water 	**	100	100	100	100	2	0.6	0.24	0.12	0	0	0	0	0	0	Westenbroek: ppt of 8/8/2007 SWB run #2	Mark Nardi Lookup table (LU_Lookup_Table_09072012_MRN.txt)
21	" Developed, Open Space "	**	74.6	80	85.6	83.4	2	0.6	0.24	0.12	0.0835	0	2	2	2	2	Westenbroek: ppt of 8/8/2007 SWB run #2	Mark Nardi Lookup table (LU_Lookup_Table_09072012_MRN.txt)
22	" Developed, Low Intensity "	0.3	74.6	80	85.6	83.4	2	0.6	0.24	0.12	0.0835	0	2	2	2	2	Westenbroek: ppt of 8/8/2007 SWB run #2	Mark Nardi Lookup table (LU_Lookup_Table_09072012_MRN.txt)
23	" Developed, Medium Intensity "	0.6	86	88	90.2	89.6	2	0.6	0.24	0.12	0.0835	0	2	2	2	2	Westenbroek: ppt of 8/8/2007 SWB run #2	Mark Nardi Lookup table (LU_Lookup_Table_09072012_MRN.txt)
24	" Developed, High Intensity "	0.9	93.1	93	93	93.5	2	0.6	0.24	0.12	0.0625	0	2	2	2	2	Westenbroek: ppt of 8/8/2007 SWB run #2	Mark Nardi Lookup table (LU_Lookup_Table_09072012_MRN.txt)
31	 Barren Land (Rock/Sand/Clay) 	**	71.1	82	90.5	88.1	2	0.6	0.24	0.12	0	0	1	1	1	1	Westenbroek: ppt of 8/8/2007 SWB run #2	Mark Nardi Lookup table (LU_Lookup_Table_09072012_MRN.txt)
41	 Deciduous Forest  	**	32	50	68.5	60	2	0.6	0.24	0.12	0.05	0	2	1.9	1.8	1.7	Westenbroek: ppt of 8/8/2007 SWB run #2	Mark Nardi Lookup table (LU_Lookup_Table_09072012_MRN.txt)
42	 Evergreen Forest 	**	39.1	55	71.4	63.9	2	0.6	0.24	0.12	0.05	0	2	1.9	1.8	1.7	Westenbroek: ppt of 8/8/2007 SWB run #2	Mark Nardi Lookup table (LU_Lookup_Table_09072012_MRN.txt)
43	 Mixed Forest 	**	46.2	60	74.2	67.8	2	0.6	0.24	0.12	0.05	0	2.7	3	2.6	2	Westenbroek: ppt of 8/8/2007 SWB run #2	Mark Nardi Lookup table (LU_Lookup_Table_09072012_MRN.txt)
51	 Dwarf Scrub	**	59	69	79.3	74.8	2	0.6	0.24	0.12	0.0625	0	3.33	4.2	3.3	2.2	Westenbroek: ppt of 8/8/2007 SWB run #2; assumed same as 52 shrub/scrub	Mark Nardi Lookup table (LU_Lookup_Table_09072012_MRN.txt); assumed same as 52 shrub/scrub
52	 Shrub/Scrub 	**	59	69	79.3	74.8	2	0.6	0.24	0.12	0.0625	0	3.33	4.2	3.3	2.2	Westenbroek: ppt of 8/8/2007 SWB run #2	Mark Nardi Lookup table (LU_Lookup_Table_09072012_MRN.txt)
71	 Grassland/Herbaceous 	**	68.9	76	83.3	80.3	2	0.6	0.24	0.12	0.09	0	3.33	4.2	3.3	1.5	Westenbroek: ppt of 8/8/2007 SWB run #2	Mark Nardi Lookup table (LU_Lookup_Table_09072012_MRN.txt)
81	 Pasture/Hay  	**	83.1	86	89	88.1	2	0.6	0.24	0.12	0.09	0	3.33	4.2	3.3	1.5	Westenbroek: ppt of 8/8/2007 SWB run #2	Mark Nardi Lookup table (LU_Lookup_Table_09072012_MRN.txt)
82	 Cultivated Crops 	**	84.5	87	89.6	88.9	2	0.6	0.24	0.12	0.09	0	1.7	1.8	1.7	0.6	Westenbroek: ppt of 8/8/2007 SWB run #2	Mark Nardi Lookup table (LU_Lookup_Table_09072012_MRN.txt)
90	 Woody Wetlands 	**	87.4	89	90.7	90.4	2	0.6	0.24	0.12	0.05	0	4.5	4.5	4.5	4.5	Westenbroek: ppt of 8/8/2007 SWB run #2	Mark Nardi Lookup table (LU_Lookup_Table_09072012_MRN.txt)
95	 Emergent Herbaceous Wetlands 	**	88.8	90	91.3	91.2	2	0.6	0.24	0.12	0	0	4.5	4.5	4.5	4.5	Westenbroek: ppt of 8/8/2007 SWB run #2	Mark Nardi Lookup table (LU_Lookup_Table_09072012_MRN.txt)
99	 Open Cell 	**	100	100	100	100	2	0.6	0.24	0.12	0	0	0	0	0	0	Westenbroek: ppt of 8/8/2007 SWB run #2	Mark Nardi Lookup table (LU_Lookup_Table_09072012_MRN.txt)
